,Name,Latitude,Longitude,accessibility_0,accessibility_1,Accessibility,colour
0,Beeston,52.926777,-1.215878,WheelchairAccess,AudioCashMachine,Both,#27AE60
1,"Eastwood, Nottinghamshire",53.018185,-1.305781,WheelchairAccess,AudioCashMachine,Both,#27AE60
2,Ilkeston,52.973766,-1.309159,WheelchairAccess,AudioCashMachine,Both,#27AE60
3,Long Eaton,52.898041,-1.271489,None,None,None,#E74C3C
4,"Ashford, Kent",51.148852,0.873529,WheelchairAccess,AudioCashMachine,Both,#27AE60
5,"Bristol, Whiteladies Road",51.467373,-2.611951,WheelchairAccess,AudioCashMachine,Both,#27AE60
6,Belper,53.023262,-1.484335,WheelchairAccess,AudioCashMachine,Both,#27AE60
7,"Derby, St Peter's Street",52.921593,-1.476054,WheelchairAccess,AudioCashMachine,Both,#27AE60
8,Bangor,53.227352,-4.124281,WheelchairAccess,AudioCashMachine,Both,#27AE60
9,Hastings,50.855347,0.579273,WheelchairAccess,AudioCashMachine,Both,#27AE60
10,"Ipswich, Tavern Street",52.057747,1.153668,WheelchairAccess,AudioCashMachine,Both,#27AE60
11,Woodbridge,52.093624,1.319566,WheelchairAccess,AudioCashMachine,Both,#27AE60
12,Burnley,53.788437,-2.242847,WheelchairAccess,AudioCashMachine,Both,#27AE60
13,Clitheroe,53.871143,-2.392276,None,None,None,#E74C3C
14,Newtown,52.51519,-3.315486,WheelchairAccess,AudioCashMachine,Both,#27AE60
15,St Austell,50.338516,-4.793151,WheelchairAccess,AudioCashMachine,Both,#27AE60
16,Douglas,54.148821,-4.480586,WheelchairAccess,AudioCashMachine,Both,#27AE60
17,Bishop's Castle,52.493716,-2.997675,None,None,None,#E74C3C
18,Witney,51.784378,-1.485744,WheelchairAccess,AudioCashMachine,Both,#27AE60
19,Bicester,51.897165,-1.150477,WheelchairAccess,AudioCashMachine,Both,#27AE60
20,"Milton Keynes, Midsummer Place",52.040989,-0.75721,WheelchairAccess,AudioCashMachine,Both,#27AE60
21,Rushden,52.290928,-0.598092,WheelchairAccess,AudioCashMachine,Both,#27AE60
22,Andover,51.207546,-1.478935,WheelchairAccess,AudioCashMachine,Both,#27AE60
23,Baker Street,51.520102,-0.1564055,WheelchairAccess,AudioCashMachine,Both,#27AE60
24,Bethnal Green,51.527519,-0.057224,WheelchairAccess,AudioCashMachine,Both,#27AE60
25,Edgware Road,51.517697,-0.167238,WheelchairAccess,AudioCashMachine,Both,#27AE60
26,Camden Town,51.539291,-0.142696,WheelchairAccess,AudioCashMachine,Both,#27AE60
27,Whitechapel,51.517274,-0.0675,WheelchairAccess,AudioCashMachine,Both,#27AE60
28,Finsbury Park,51.565416,-0.103099,WheelchairAccess,AudioCashMachine,Both,#27AE60
29,Moorgate,51.519539,-0.087069,WheelchairAccess,AudioCashMachine,Both,#27AE60
30,Hackney,51.544479,-0.056097,WheelchairAccess,AudioCashMachine,Both,#27AE60
31,High Holborn,51.517362,-0.121347,WheelchairAccess,AudioCashMachine,Both,#27AE60
32,Angel Islington,51.532688,-0.106545,WheelchairAccess,AudioCashMachine,Both,#27AE60
33,Kings Cross,51.52964,-0.123957,WheelchairAccess,AudioCashMachine,Both,#27AE60
34,Marylebone Road,51.522472,-0.157378,WheelchairAccess,AudioCashMachine,Both,#27AE60
35,Oxford Circus,51.515647,-0.140027,WheelchairAccess,AudioCashMachine,Both,#27AE60
36,Paddington,51.518865,-0.169429,WheelchairAccess,AudioCashMachine,Both,#27AE60
37,Russell Square,51.523083,-0.125625,WheelchairAccess,AudioCashMachine,Both,#27AE60
38,Tottenham Court Road,51.518845,-0.132651,WheelchairAccess,AudioCashMachine,Both,#27AE60
39,Walthamstow,51.585716,-0.020025,WheelchairAccess,AudioCashMachine,Both,#27AE60
40,Old Broad Street,51.516167,-0.084241,WheelchairAccess,AudioCashMachine,Both,#27AE60
41,Holborn Circus,51.517609,-0.109519,WheelchairAccess,AudioCashMachine,Both,#27AE60
42,Cheshunt,51.702557,-0.0349,WheelchairAccess,AudioCashMachine,Both,#27AE60
43,"Enfield, The Town",51.651993,-0.081298,WheelchairAccess,AudioCashMachine,Both,#27AE60
44,Hoddesdon,51.759185,-0.012458,WheelchairAccess,AudioCashMachine,Both,#27AE60
45,Westfield Stratford City,51.543555,-0.006666,WheelchairAccess,AudioCashMachine,Both,#27AE60
46,Waltham Cross,51.685848,-0.033425,None,None,None,#E74C3C
47,Bromsgrove,52.334873,-2.061462,WheelchairAccess,AudioCashMachine,Both,#27AE60
48,Droitwich,52.267349,-2.150682,WheelchairAccess,AudioCashMachine,Both,#27AE60
49,"Worcester, Broad Street",52.192966,-2.222098,WheelchairAccess,AudioCashMachine,Both,#27AE60
50,Wadebridge,50.516693,-4.836519,WheelchairAccess,AudioCashMachine,Both,#27AE60
51,Castleford,53.725895,-1.353443,WheelchairAccess,AudioCashMachine,Both,#27AE60
52,Pontefract,53.690571,-1.311809,WheelchairAccess,AudioCashMachine,Both,#27AE60
53,"Bath, Southgate",51.378952,-2.360117,WheelchairAccess,AudioCashMachine,Both,#27AE60
54,Perth High Street,56.396454,-3.428732,WheelchairAccess,AudioCashMachine,Both,#27AE60
55,Penzance,50.118774,-5.537837,WheelchairAccess,AudioCashMachine,Both,#27AE60
56,"Jersey, St Brelade",49.1847542,-2.2025194,WheelchairAccess,AudioCashMachine,Both,#27AE60
57,Merry Hill,52.482059,-2.110495,WheelchairAccess,AudioCashMachine,Both,#27AE60
