,Name,Latitude,Longitude,accessibility_w,accessibility_h,Accessibility,colour
0,London 1284,51.5132818,-0.0770716,WheelchairAccess,InductionLoop,Both,#27AE60
1,Whittlesey 1436,52.55663552,-0.12701322,WheelchairAccess,InductionLoop,Both,#27AE60
2,Harrogate 0818,53.99311555,-1.54241122,WheelchairAccess,InductionLoop,Both,#27AE60
3,Birmingham 0517,52.4165149,-1.9694924,WheelchairAccess,InductionLoop,Both,#27AE60
4,Rotherham 0835,53.4316148,-1.3558636,WheelchairAccess,None,Wheelchair Only,#003FF6
5,Hailsham 1316,50.86215008,0.25983966,None,InductionLoop,InductionLoop Only,#FA8406
6,Beeston 1184,52.92664426,-1.21607199,WheelchairAccess,InductionLoop,Both,#27AE60
7,St. Albans 0692,51.7536286,-0.3369606,None,None,None,#E74C3C
8,Cannock 0549,52.6881665,-2.0294407,WheelchairAccess,InductionLoop,Both,#27AE60
9,Beccles 1144,52.4573082,1.5636034,WheelchairAccess,InductionLoop,Both,#27AE60
10,Leatherhead 0794,51.29524965,-0.32999239,WheelchairAccess,InductionLoop,Both,#27AE60
11,Sleaford 1096,52.99950679,-0.41058375,None,InductionLoop,InductionLoop Only,#FA8406
12,Long Eaton 0541,52.89740344,-1.27089925,WheelchairAccess,InductionLoop,Both,#27AE60
13,Bradford 0837,53.7939622,-1.75295792,WheelchairAccess,InductionLoop,Both,#27AE60
14,Gloucester 0480,51.8654579,-2.2461673,None,InductionLoop,InductionLoop Only,#FA8406
15,Wolverhampton 1136,52.63063599,-2.20071964,WheelchairAccess,InductionLoop,Both,#27AE60
16,Halifax 0828,53.72255876,-1.86217658,None,InductionLoop,InductionLoop Only,#FA8406
17,Leven 0966,56.1956904,-2.9962206,WheelchairAccess,InductionLoop,Both,#27AE60
18,Wokingham 0308,51.41065334,-0.83468481,WheelchairAccess,None,Wheelchair Only,#003FF6
19,Colchester 0601,51.88921381,0.89780487,WheelchairAccess,None,Wheelchair Only,#003FF6
20,Dunfermline 0937,56.07184796,-3.45843427,WheelchairAccess,None,Wheelchair Only,#003FF6
21,Christchurch 0327,50.73534578,-1.77826394,WheelchairAccess,InductionLoop,Both,#27AE60
22,Glenrothes 0905,56.1965644,-3.170107,WheelchairAccess,InductionLoop,Both,#27AE60
23,Yate 1569,51.54086256,-2.41296483,WheelchairAccess,InductionLoop,Both,#27AE60
24,Bournemouth 0320,50.7199551,-1.8779354,WheelchairAccess,InductionLoop,Both,#27AE60
25,Exmouth 0416,50.61929076,-3.41330368,WheelchairAccess,InductionLoop,Both,#27AE60
26,Bournemouth 1216,50.7265797,-1.8170884,WheelchairAccess,InductionLoop,Both,#27AE60
27,Hornchurch 0690,51.5615734,0.2205284,WheelchairAccess,None,Wheelchair Only,#003FF6
28,Malvern 0546,52.11210929,-2.33002983,WheelchairAccess,InductionLoop,Both,#27AE60
29,Paisley 0909,55.84475811,-4.42347488,None,InductionLoop,InductionLoop Only,#FA8406
30,Hereford 0506,52.05708215,-2.71417602,WheelchairAccess,None,Wheelchair Only,#003FF6
31,Reading 0368,51.45782833,-1.04215215,WheelchairAccess,InductionLoop,Both,#27AE60
32,Crowthorne 1245,51.3691858,-0.79268552,WheelchairAccess,InductionLoop,Both,#27AE60
33,Stourbridge 0542,52.45529328,-2.14432404,WheelchairAccess,InductionLoop,Both,#27AE60
34,Margate 0257,51.38682531,1.38098962,WheelchairAccess,InductionLoop,Both,#27AE60
35,Stretford 0721,53.44510058,-2.30991908,WheelchairAccess,InductionLoop,Both,#27AE60
36,Loughton 0209,51.64457336,0.05211107,None,InductionLoop,InductionLoop Only,#FA8406
37,Livingston 1557,55.884014,-3.514761,WheelchairAccess,InductionLoop,Both,#27AE60
38,Ruislip 0234,51.57360584,-0.42339252,WheelchairAccess,None,Wheelchair Only,#003FF6
